Search Term,均值,方差,斜率
wifi extender,599.648,0.0583,"{'11': 0.589, '5': 0.176}"
storage,910.448,0.0595,"{'2': 0.279, '11': 0.521}"
beach umbrella,6210.7753,0.0952,{'11': 0.782}
twin bed,1373.8977,0.0714,"{'2': 0.354, '11': 0.53, '6': 0.281}"
yeti cooler,2049.6475,0.1034,"{'11': 0.346, '4': 0.202}"
slippers,521.7842,0.0839,"{'9': 0.172, '7': 0.18}"
bodycon dresses for women,132371.931,0.1112,"{'4': 0.56, '6': 0.429}"
pregnancy pillows,5158.8095,0.0734,{'6': 1.304}
boys backpacks,220027.3357,0.1499,"{'11': 0.09, '5': 0.332}"
outdoor rug,933.8195,0.0897,{'11': 1.004}
beach toys,6237.1144,0.1215,{'11': 0.632}
wallpaper,913.0134,0.0667,"{'8': 0.55, '10': 0.571}"
mosquito killer,18526.438,0.1088,"{'11': 0.66, '5': 0.072}"
diapers,1000.9339,0.0431,"{'3': 0.113, '11': 0.986}"
cutting boards,4407.2931,0.1582,"{'2': 0.164, '4': 0.126}"
lululemon dupes,2309.9015,0.0637,"{'11': 0.088, '4': 1.138}"
youtube,711.3469,0.0694,"{'3': 0.118, '11': 0.567, '6': 0.195}"
portable air conditioner,4180.0812,0.1048,{'11': 0.694}
waist trainer,795.5874,0.0809,"{'11': 0.56, '7': 0.181}"
kawaii clothes,1196.422,0.0592,"{'10': 0.275, '5': 0.26}"
biker shorts,3418.5876,0.1302,{'11': 1.264}
yeti tumbler,1314.3512,0.0564,{'8': 1.126}
baby stuff,995.8649,0.1137,"{'11': 0.537, '6': 0.459}"
vitamin d3,956.7911,0.067,"{'8': 0.779, '10': 1.043, '3': 0.222, '6': 0.12}"
face shield,712.6528,0.0828,"{'11': 0.988, '6': 0.403}"
skirt,843.5,0.0635,"{'11': 0.711, '7': 0.084}"
water shoes men,71829.2885,0.102,{'4': 0.142}
waterproof phone pouch,12949.7408,0.0728,"{'11': 0.238, '4': 1.13, '6': 0.808}"
yoga pants,925.8416,0.0746,"{'11': 0.141, '6': 0.358}"
vacuum,865.9662,0.0618,"{'10': 0.219, '6': 0.077}"
amazon usa,7415.5418,0.0743,{}
n95 masks for virus protection made in usa,5380.5511,0.0754,"{'2': 1.315, '11': 0.224, '6': 0.386}"
perfumes for women,762.579,0.0678,"{'8': 0.072, '3': 0.118, '6': 0.259}"
pit vipers,1590.2196,0.0834,"{'2': 0.07, '11': 0.801}"
scooby doo,574.7179,0.0518,"{'11': 0.736, '4': 0.186}"
protein bars,886.2655,0.0533,"{'11': 0.927, '6': 0.291}"
shapewear,1268.2327,0.0617,"{'11': 0.723, '6': 0.141}"
hammocks,11275.0099,0.0952,{'11': 0.429}
dinnerware sets,896.4344,0.0497,"{'11': 0.299, '6': 0.917}"
external hard drives,5441.8804,0.0865,"{'10': 0.175, '3': 0.247, '6': 0.559}"
beach blanket,5429.6616,0.1058,{'11': 0.753}
zahler paraguard,139742.8477,0.1324,{'10': 0.345}
summer outfits for women,13836.5884,0.1285,"{'2': 0.211, '11': 0.551}"
pop socket,863.6501,0.0655,"{'2': 0.155, '11': 0.594}"
clear heels,2352.5119,0.078,{'11': 1.054}
mechanical keyboard,852.293,0.0549,{'10': 0.242}
fresh,2032.9644,0.0789,"{'3': 0.21, '11': 0.757, '6': 0.149}"
apple iphone,642.5908,0.0632,"{'10': 0.293, '5': 0.119}"
among us,676.8096,0.1045,"{'11': 0.529, '6': 0.254}"
iphone 8 plus cases,23536.0487,0.1979,{'5': 0.482}
car phone holder mount,5700.5032,0.1063,"{'2': 0.785, '5': 0.769}"
folding chair,2816.6089,0.1008,"{'2': 0.484, '11': 0.104, '7': 0.176}"
ceiling fan with lights,48415.4625,0.1088,"{'9': 0.531, '6': 0.395}"
peacock,4841.9473,0.1206,"{'2': 0.422, '5': 0.161}"
nobody,11599.7637,0.1032,{'11': 0.084}
clothes rack,1295.7291,0.0519,"{'2': 0.214, '11': 0.174, '6': 1.008}"
jeans for women,826.214,0.0618,"{'2': 1.272, '11': 0.097, '6': 0.183}"
heating pad,485.4406,0.0811,{'6': 0.4}
creatine,911.9119,0.0639,{'11': 0.481}
water filter,1001.5696,0.0546,"{'11': 0.898, '4': 0.138, '7': 0.081}"
tennis skirt,2304.033,0.0866,"{'2': 0.227, '11': 1.143, '5': 0.127}"
trash bags,969.3931,0.0478,"{'11': 0.368, '6': 0.727}"
nintendo switch controller,2770.023,0.1436,"{'10': 0.059, '2': 0.242, '4': 0.456, '6': 0.407}"
college essentials,9301.5544,0.11,"{'10': 0.25, '3': 0.122, '6': 0.055}"
dumbbell sets,9301.757,0.1331,{'5': 0.398}
wall shelf,1403.1284,0.0642,"{'11': 0.763, '5': 0.329}"
nespresso,1291.8864,0.0622,"{'10': 0.352, '3': 0.377}"
fans,3661.9469,0.1255,"{'2': 0.346, '11': 0.88, '5': 0.148}"
headband wig human hair,9408.6645,0.1324,{'6': 0.506}
iphone x,859.0397,0.0679,{'11': 0.556}
baby registry search,2250.3845,0.0722,"{'8': 1.125, '11': 0.241}"
jibbitz,1456.6898,0.0639,"{'2': 0.388, '11': 0.359}"
magnets,881.3272,0.0604,"{'11': 0.654, '7': 0.161}"
mens wallets,7841.5773,0.1671,{'5': 0.429}
tarot cards,945.9876,0.0466,"{'11': 0.282, '6': 0.866}"
lamps,1012.1307,0.0624,"{'11': 0.514, '6': 0.201}"
vanity mirror,1589.1873,0.0638,"{'10': 0.297, '2': 0.165, '5': 0.563}"
air conditioner for room,54757.5002,0.0804,{'11': 1.122}
bubble machine,1659.9501,0.0777,{'11': 0.475}
nail tips,1118.8353,0.0569,{'11': 0.681}
plus size lingerie,2956.3717,0.0769,"{'11': 0.107, '4': 0.547}"
heels,1484.3939,0.0601,{'11': 0.4}
paddle board,4242.2215,0.1023,"{'10': 0.66, '5': 0.105}"
bar cart,1168.7481,0.0645,"{'2': 0.29, '11': 0.49, '5': 0.138}"
bluetooth speaker,505.929,0.137,{'10': 0.207}
sun hat,6158.9215,0.094,{'11': 0.526}
nintendo switch accessories,1130.1142,0.0808,"{'9': 0.136, '6': 0.131}"
food scale,1022.6379,0.0545,{'11': 0.732}
fajas colombianas reductoras y moldeadoras,19709.9316,0.0752,{'5': 1.138}
bong,754.8745,0.0655,"{'8': 0.15, '11': 0.484}"
wedge sandals for women,16680.5766,0.1236,"{'11': 0.625, '6': 1.473}"
bluetooth earbuds,553.2575,0.103,"{'11': 0.079, '4': 0.873, '6': 0.617}"
baby shark,856.4005,0.0519,"{'10': 0.094, '6': 0.548}"
cosplay,919.7664,0.068,"{'8': 0.174, '11': 1.153, '6': 0.112}"
roku,834.4586,0.0551,"{'8': 0.297, '10': 0.575, '5': 0.103}"
hat,1177.6449,0.0592,"{'11': 0.21, '5': 0.13}"
oversized t shirts for women,26672.3689,0.0805,{}
midi dress,2787.3999,0.065,{'11': 0.349}
popcorn,1114.9501,0.094,"{'8': 0.275, '11': 0.512}"
dresses for wedding guest women summer,17492.5871,0.079,{'9': 1.052}
converse,796.6339,0.0538,"{'11': 0.198, '5': 0.139, '7': 0.203}"
tools,683.9959,0.0694,"{'9': 0.116, '2': 0.194, '5': 0.348}"
switch,1027.422,0.0524,"{'8': 0.563, '5': 0.205}"
kids mask,1936.5306,0.1002,"{'2': 0.174, '11': 0.715, '6': 0.581}"
s,808.217,0.068,"{'9': 0.108, '4': 0.359, '6': 0.19}"
iphone xs max phone case,9656.8804,0.1179,"{'11': 0.439, '4': 0.391}"
scrubs,1112.6952,0.051,"{'11': 0.984, '7': 0.084}"
under armour shoes for men,2812.9601,0.0868,"{'2': 0.787, '11': 0.544}"
spiralizer,12187.9957,0.0643,"{'9': 0.49, '5': 0.337}"
ipad case,872.8762,0.0554,"{'9': 0.086, '6': 0.288}"
beach cover up,14541.8813,0.1001,{'11': 0.344}
purses,1472.7358,0.063,"{'10': 0.178, '4': 0.09, '6': 0.087}"
kitchen towels,759.8378,0.0668,{'10': 0.219}
acrylic powder,1228.236,0.0636,{'11': 0.737}
tool box,642.6635,0.0695,"{'10': 0.092, '2': 0.202, '5': 0.077}"
ipad air case 4th generation,11884.6222,0.1656,{'6': 0.47}
blood pressure machine,11272.4782,0.1342,{'6': 1.006}
juice,1339.8707,0.0608,"{'8': 0.41, '11': 0.559}"
hoka shoes women,127364.6382,0.1379,{'3': 0.233}
patio lights,4937.431,0.086,"{'11': 0.423, '6': 0.35}"
sticky notes,1943.1278,0.0543,"{'11': 0.4, '6': 0.508}"
a quiet place 2,14977.8285,0.1407,"{'11': 0.22, '4': 0.397}"
pillow covers,878.8382,0.0775,"{'8': 0.253, '2': 0.367, '11': 0.511, '6': 0.324}"
car trash can,1279.06,0.0623,"{'2': 0.13, '11': 0.558}"
carry on luggage with spinner wheels,76449.6678,0.0799,"{'8': 0.156, '11': 0.119, '4': 1.103}"
phone,892.6858,0.0447,{'11': 0.817}
pencil pouch,3252.1555,0.13,"{'11': 0.491, '4': 0.158}"
gaming,1176.0864,0.0655,{'10': 0.197}
fishing accessories,4321.4238,0.0846,"{'2': 0.675, '11': 0.074}"
mouse pads,5773.5336,0.0849,"{'11': 0.582, '5': 0.177}"
pop it fidget toy,1129.2696,0.1144,{'11': 0.583}
extension cords,15182.8267,0.0808,"{'10': 0.108, '2': 0.546, '5': 0.199}"
travel bag,2172.9316,0.0586,{'11': 0.152}
insulated water bottle,2095.9312,0.0803,"{'2': 0.342, '11': 0.334, '5': 0.147}"
crocs sandals women,138646.2707,0.1008,"{'11': 0.11, '6': 0.143}"
blouses for women fashion,58033.4375,0.134,{'10': 0.427}
xbox series s,983.0085,0.078,"{'8': 0.397, '10': 0.153, '5': 0.188}"
survivor,671.5857,0.0564,{'8': 0.496}
chopsticks,1230.0605,0.052,"{'11': 0.221, '6': 0.7}"
xbox one,787.0669,0.0701,{'10': 0.188}
flowers,948.8848,0.0753,{'11': 0.698}
lifetime movies,2790.8176,0.1221,"{'10': 0.776, '5': 0.306}"
power strips,7758.0522,0.1642,"{'11': 0.104, '4': 0.671}"
jumpsuit,2614.3168,0.0665,{'11': 0.615}
safe,1002.8513,0.0555,"{'11': 0.623, '6': 0.111}"
big pop it,38579.3895,0.1,{}
bananas,1091.3378,0.0657,"{'11': 0.968, '7': 0.545}"
license plate covers & frames,72937.5587,0.0851,"{'2': 0.688, '11': 0.415, '5': 0.094}"
pencil box,6270.8212,0.1018,"{'11': 0.579, '5': 0.346}"
phone tripod,2661.9402,0.0708,"{'10': 0.266, '2': 0.191, '7': 0.157}"
leverage,5433.3956,0.0858,"{'11': 0.238, '4': 0.098}"
heartland,1266.0637,0.0546,"{'11': 0.762, '4': 0.171, '6': 0.158}"
full face snorkel mask,19992.6019,0.1076,"{'11': 0.54, '4': 0.109, '6': 0.124}"
war movies,1088.2979,0.0703,"{'3': 0.625, '11': 0.349, '6': 0.242}"
white desk,1236.6816,0.0654,"{'10': 0.315, '6': 0.332}"
womens swimsuits,4892.4809,0.1254,{'11': 0.504}
skateboards,2271.2831,0.1029,"{'2': 0.84, '11': 0.123, '5': 0.557}"
friday night funkin merch,3459.0114,0.1385,{'11': 0.501}
knife,670.142,0.0817,"{'10': 0.135, '2': 0.07}"
dog,743.8732,0.0821,{'10': 0.262}
pressure washer,822.256,0.0991,"{'11': 0.756, '7': 1.032}"
invincible,8828.3073,0.0892,{}
door stopper,5336.508,0.0872,"{'2': 0.441, '11': 0.608, '4': 0.083}"
amazoncom,73401.6526,0.0807,"{'3': 0.439, '9': 0.339, '11': 0.353, '7': 0.337}"
plus size bathing suit for women,147141.0428,0.1628,{'9': 0.282}
dewalt,842.2296,0.0619,"{'9': 0.076, '2': 0.196, '5': 0.161}"
hydroflask 32 oz,147363.9449,0.0789,"{'10': 0.269, '5': 0.344}"
salad,988.3341,0.0472,{'11': 0.84}
dining room table set,3667.438,0.0834,{'11': 0.79}
cowboy boots for women,59336.1864,0.1881,"{'2': 0.056, '5': 0.527}"
lol,1000.7981,0.057,"{'9': 0.065, '5': 0.304}"
birkenstock,2177.2953,0.0903,{'11': 0.283}
dry erase markers,2185.0066,0.0836,"{'2': 1.145, '11': 0.146, '5': 0.843}"
paraguard parasite cleanse,130701.0452,0.1084,{'11': 0.749}
desk organizer,1216.0202,0.1124,"{'11': 0.599, '6': 0.174}"
cinderella,1073.5525,0.1166,"{'11': 0.574, '4': 0.187, '6': 0.373}"
strapless bra,4031.3403,0.1,{'11': 0.71}
motorcycle helmets,53745.9576,0.1046,{'5': 0.168}
posters,962.9203,0.0581,"{'10': 0.459, '6': 0.127}"
storage shelves,781.1559,0.0518,"{'8': 0.157, '11': 0.672}"
tents for camping,3528.6773,0.0902,"{'11': 0.366, '5': 0.379, '7': 0.684}"
ring doorbell,207.4215,0.0578,"{'2': 0.072, '11': 0.151, '7': 1.086}"
butter,973.9361,0.0716,"{'8': 0.155, '11': 0.577}"
kawaii room decor,1517.139,0.0552,"{'10': 0.428, '6': 0.087}"
patio chairs,2034.0653,0.0971,{'11': 0.856}
bookshelf,353.4048,0.1183,"{'11': 0.213, '4': 0.807, '7': 0.387}"
clarks sandals shoes for women,45310.0752,0.1242,{'8': 0.989}
speakers bluetooth wireless,1427.3801,0.0556,"{'8': 0.986, '10': 0.133, '2': 0.172}"
hoodies,735.7115,0.0656,{'6': 0.711}
golf accessories for men,3321.6288,0.0738,"{'10': 0.476, '2': 0.489, '5': 0.243}"
registry,2426.0513,0.0668,"{'11': 0.823, '6': 0.144}"
jumbo pop it,715.9764,0.1331,{'11': 0.568}
jordan 1,1167.9506,0.0568,"{'10': 0.095, '2': 0.322, '6': 0.267}"
john wayne movies,1587.0748,0.0774,"{'11': 0.52, '6': 0.197}"
bb gun,1060.833,0.0574,"{'8': 0.51, '2': 0.506, '11': 0.202, '5': 0.13}"
walkie talkies,3059.8318,0.0983,"{'9': 0.249, '5': 0.373}"
crop top,1740.5185,0.0627,{'11': 0.82}
kids tablet,1180.0439,0.0782,{'8': 0.393}
cardigan sweaters for women,4142.0268,0.0933,"{'8': 0.68, '2': 0.67, '5': 0.143}"
godzilla vs kong,17224.9013,0.072,{'11': 0.128}
black disposable face masks,31358.0527,0.1593,{'4': 0.077}
necklace,1068.1818,0.0575,"{'10': 0.288, '3': 0.076}"
pregnancy tests,15234.6354,0.1755,{'4': 0.339}
headphones wireless bluetooth,3143.9911,0.0631,{'8': 1.225}
ear buds,1846.9189,0.0823,"{'10': 0.168, '2': 0.31, '5': 0.185}"
robot vacuum,892.1342,0.0705,"{'10': 0.181, '5': 0.18}"
hats,1214.5045,0.0558,"{'10': 0.075, '5': 0.059}"
life jackets for adults,6442.1087,0.0951,{'11': 0.733}
gaming apparel,1452.5403,0.1276,{'11': 0.672}
table runner,1008.0752,0.0697,"{'10': 0.282, '2': 0.63, '5': 0.231}"
luggage tag,3035.8299,0.0681,"{'11': 0.151, '6': 0.376}"
butt plug,1026.7952,0.0523,{'11': 0.678}
bar stool,5013.3159,0.0742,"{'2': 0.24, '11': 0.531, '6': 0.206}"
bluetooth,5790.6707,0.0619,"{'8': 0.421, '11': 0.53, '5': 0.133}"
jansport backpack for teen girls,24361.0224,0.0906,{'11': 0.965}
bar stools,419.2198,0.0584,"{'11': 0.429, '5': 0.379, '7': 0.502}"
jumanji,1090.165,0.0591,"{'11': 0.394, '7': 0.86}"
keycaps,1152.1752,0.0623,"{'10': 0.25, '6': 0.198}"
cake stand,1436.6246,0.0455,"{'11': 0.41, '6': 0.9}"
queen comforter,3261.8749,0.0646,"{'10': 0.16, '2': 0.099, '4': 0.714, '6': 0.962}"
fall decor,94502.0545,0.1647,{'3': 0.274}
fitbit versa 2 band,35834.4385,0.135,"{'11': 0.125, '5': 0.064}"
womens tank tops,3488.8627,0.079,{'11': 0.841}
john wick,881.5842,0.0656,{'10': 0.767}
crop tops,1145.9978,0.0733,{'11': 0.514}
tennis balls,1379.7937,0.0691,{'11': 0.552}
adidas backpack,9135.703,0.1161,"{'2': 0.174, '11': 0.309, '5': 0.185}"
water pick,6039.7584,0.0771,"{'2': 0.548, '11': 0.341}"
sd card,724.493,0.0575,"{'8': 0.506, '2': 0.28, '11': 0.339, '5': 0.426}"
bulletin board borders,17573.0568,0.1079,"{'2': 0.118, '11': 0.852, '4': 0.229}"
nail drill,668.2935,0.0721,"{'11': 0.526, '6': 0.28}"
chromebook,1010.8885,0.0872,"{'10': 0.219, '2': 0.22, '6': 0.268}"
pizza,1106.4801,0.0677,"{'8': 0.726, '11': 0.876, '6': 0.141}"
eyeliner,1398.5074,0.0625,"{'3': 0.119, '11': 0.573, '6': 0.252}"
music,917.4881,0.0772,{'11': 0.501}
power rangers,1511.2097,0.0541,"{'10': 0.423, '5': 0.088}"
toddler backpack,5489.2771,0.0757,"{'11': 0.322, '5': 0.114}"
coffee pods,958.4625,0.0507,"{'8': 0.117, '11': 0.199, '6': 0.814}"
baby swing,898.5902,0.0578,"{'8': 0.139, '11': 0.554, '6': 0.393}"
cat water fountain,1143.9061,0.0624,"{'11': 0.401, '5': 0.166}"
travel size toiletries,2995.6063,0.0691,{'11': 0.16}
nail clippers,1066.6203,0.0494,{'11': 0.689}
adam sandler,1528.2582,0.0762,"{'10': 0.768, '6': 0.114}"
file cabinet,1382.6131,0.0508,{'11': 0.716}
wine glasses,1122.4643,0.0493,"{'10': 0.142, '6': 0.685}"
bike,1211.0954,0.0616,"{'8': 0.189, '10': 0.795}"
shower curtain liner,1274.3224,0.0546,"{'11': 0.156, '6': 0.884}"
whey protein,1227.227,0.0612,"{'2': 0.097, '11': 0.7}"
games,988.7033,0.0763,{'9': 0.087}
thrillers,35960.4144,0.0727,{'3': 1.131}
fish tank,1299.5173,0.0486,"{'8': 0.096, '10': 0.558}"
recliner chair,3106.1278,0.0769,"{'2': 0.688, '6': 1.315}"
packing tape,1299.8212,0.0601,"{'2': 0.268, '11': 0.811, '6': 0.364}"
oakley sunglasses for men,1401.4972,0.072,"{'11': 0.352, '4': 0.841}"
house,1097.7186,0.0508,"{'8': 0.318, '11': 0.306, '4': 0.13, '6': 0.216}"
hawaiian shirts,51949.0374,0.0927,{'11': 0.314}
hydro flask,2075.4866,0.0855,"{'2': 0.222, '11': 0.367, '5': 0.131}"
tires,682.3611,0.0783,"{'11': 0.951, '6': 0.259}"
solar lights,1462.8453,0.0822,"{'2': 0.399, '11': 0.2}"
vape,1011.2583,0.0608,"{'11': 0.581, '6': 0.184}"
wedding gifts,2862.6929,0.0768,{'11': 0.293}
fridge organizer,1579.2194,0.0568,"{'2': 0.235, '11': 0.818}"
dish soap,1204.6019,0.0493,"{'11': 0.917, '7': 0.118}"
womens sunglasses,2232.4543,0.1032,"{'11': 0.486, '5': 0.194}"
apple pencil,936.4184,0.071,"{'8': 0.326, '10': 0.279, '5': 0.06}"
barbie dolls,1376.772,0.0991,"{'11': 0.116, '4': 0.626, '6': 0.545}"
bosch,2583.1726,0.0808,"{'10': 0.492, '5': 0.281}"
kids water bottle,2338.8413,0.0932,"{'11': 0.522, '5': 0.09}"
projector screen,1751.8117,0.0619,"{'11': 0.205, '5': 0.679, '7': 0.116}"
womens shorts for summer,66688.3294,0.1076,{'11': 0.709}
storage cubes,1705.7648,0.0682,"{'11': 0.55, '5': 0.307}"
iphone 8,905.046,0.07,"{'10': 0.27, '4': 0.121}"
echo,882.3607,0.0556,{'11': 0.919}
cat bed,870.0739,0.0614,"{'11': 0.343, '4': 0.088, '6': 0.08}"
godzilla,639.1725,0.0918,{'10': 0.476}
knife sharpeners,6663.8048,0.1218,{'2': 0.539}
bath mat,1100.888,0.0592,"{'11': 0.452, '5': 0.148, '7': 0.106}"
desk fan,4441.0111,0.0986,{'11': 0.767}
graphics card,713.2612,0.063,"{'8': 0.564, '11': 0.28}"
backpacks for teen girls,25889.3841,0.0724,"{'11': 0.902, '5': 0.099}"
love island,14817.4192,0.1162,"{'11': 0.478, '6': 0.41}"
brooks shoes women,48624.8712,0.1017,{'6': 1.463}
kitchen mat,1537.1721,0.0875,"{'8': 0.099, '11': 0.306, '4': 0.31}"
curling iron,959.1269,0.0597,"{'11': 0.175, '6': 0.752}"
queen bed frame with headboard,4532.6487,0.088,"{'8': 0.641, '2': 0.641, '11': 0.191, '5': 0.478}"
salmon,1011.4038,0.051,{'11': 1.018}
zinc,1046.9074,0.1049,"{'3': 0.341, '11': 0.949, '6': 0.431}"
peanut butter,972.5035,0.05,{'11': 0.907}
towels,935.8711,0.0559,"{'2': 0.206, '11': 0.539}"
bridesmaid dresses,6130.7078,0.1077,"{'11': 0.2, '5': 0.994}"
full bed frame,3714.8799,0.0898,"{'11': 0.296, '4': 0.632, '6': 0.397}"
bras,2072.4319,0.0759,"{'11': 0.502, '5': 0.074}"
mini backpack,1800.6628,0.0592,"{'10': 0.269, '2': 0.316, '6': 0.368}"
figit toys packages,2656.6324,0.1217,"{'8': 0.74, '10': 0.2}"
amazon gift card,1467.7413,0.105,"{'4': 0.16, '7': 0.198}"
security cameras indoor/outdoor wireless,42555.2489,0.1085,"{'8': 1.121, '2': 0.292, '11': 0.6}"
under armour backpack,14223.5978,0.0935,"{'11': 0.298, '5': 0.129}"
tattoo kit,1144.222,0.0556,{'10': 0.28}
furniture,1223.2024,0.0627,"{'11': 0.59, '5': 0.349}"
football cleats,5234.335,0.0764,"{'11': 0.402, '5': 0.313}"
photo albums,21005.0629,0.0905,"{'11': 0.501, '6': 0.393}"
scissors,1773.2587,0.0742,"{'3': 0.174, '11': 0.412, '6': 0.521}"
cleaning supplies,1317.82,0.0479,"{'11': 0.796, '5': 0.182}"
discovery plus,2329.5458,0.1081,"{'3': 0.088, '11': 0.668, '6': 0.172}"
romantic comedies,1633.985,0.0732,"{'10': 0.733, '3': 0.408, '6': 0.395}"
stuffed animals,3554.5184,0.1364,{'5': 0.131}
cocomelon party supplies,8485.5401,0.087,"{'11': 0.25, '4': 0.058, '6': 0.243}"
ergonomic office chair,1676.6823,0.0548,"{'11': 0.189, '4': 0.142, '6': 1.183}"
ground beef,974.3317,0.0523,{'11': 1.038}
dehumidifier,1612.5738,0.0613,"{'11': 0.834, '5': 0.134}"
platform boots,1806.1352,0.0806,"{'2': 0.369, '11': 0.183, '6': 0.197}"
gum,1329.264,0.0497,"{'8': 0.271, '11': 0.746}"
boho clothing for women,5144.7002,0.0873,{'11': 0.813}
sectional couches for living room,14791.8028,0.0891,"{'8': 0.499, '2': 0.562, '11': 0.125}"
wax warmer,1003.9035,0.0551,"{'11': 0.371, '6': 0.176}"
rc cars,1195.6347,0.0507,"{'10': 0.104, '2': 0.198, '5': 0.499}"
bluey,1441.9619,0.0704,"{'11': 0.08, '5': 0.078}"
workout equipment,1825.9055,0.0886,"{'10': 0.337, '2': 0.331, '6': 0.182}"
room decorations,6663.1831,0.0676,"{'10': 0.438, '6': 0.516}"
scale,1197.5686,0.0501,{'11': 0.691}
cordless vacuum cleaner,4228.5995,0.0926,{'4': 0.882}
microphone,450.6319,0.0522,"{'11': 0.361, '7': 0.541}"
passport holder,2532.403,0.0805,"{'8': 0.76, '11': 0.241}"
magnesium threonate,35966.5639,0.1269,"{'11': 0.323, '6': 0.497}"
pocket knife,389.637,0.063,"{'10': 0.057, '3': 0.107, '7': 0.256}"
lighter,816.8277,0.0539,"{'11': 0.542, '6': 0.277}"
birthday gifts for men,1780.259,0.0461,"{'11': 0.956, '6': 0.185}"
sp,3001.6025,0.0613,"{'11': 0.31, '5': 0.096}"
blink home security,2888.0824,0.0835,{'11': 0.078}
birthday decorations,1580.7896,0.055,"{'10': 0.661, '6': 0.127}"
beach towels,6147.4037,0.1514,{'11': 0.508}
air mattress,861.3638,0.0574,"{'11': 0.361, '7': 0.295}"
cool stuff,1087.4504,0.0703,"{'10': 0.288, '6': 0.32}"
table lamp,1184.9238,0.0541,"{'11': 0.353, '6': 0.56}"
dog food storage container,1259.7952,0.0537,"{'11': 0.663, '5': 0.093}"
power strip,1016.6842,0.0922,"{'3': 0.187, '11': 0.543}"
dresses summer,144843.9517,0.1329,"{'9': 0.734, '11': 0.7, '6': 0.164}"
pets,1343.9418,0.0757,"{'10': 0.411, '5': 0.113}"
bachelorette party favors,5226.77,0.0644,{'11': 1.032}
food storage containers,1277.9721,0.0672,"{'11': 0.47, '5': 0.104}"
nail glue,1460.5488,0.0491,"{'11': 0.739, '6': 0.237}"
phone case,627.8026,0.0707,"{'11': 0.261, '7': 0.48}"
clorox wipes,1946.0636,0.0747,"{'11': 0.913, '6': 0.297}"
wireless keyboard,907.5486,0.0767,"{'11': 0.421, '5': 0.223, '7': 0.172}"
phone stand,1517.681,0.0529,"{'11': 0.306, '6': 0.763}"
cooking shows,2086.3935,0.0637,"{'3': 0.16, '11': 0.261, '6': 0.118}"
gpu,1534.255,0.0716,"{'11': 0.613, '5': 0.179}"
boat accessories,2808.5111,0.1107,{'11': 0.518}
dinosaur,1230.4362,0.0553,"{'10': 0.25, '4': 0.135, '6': 0.131}"
knee braces for knee pain,1077.6128,0.0537,"{'8': 0.108, '11': 0.679}"
ramen,1127.5299,0.0652,"{'11': 0.832, '6': 0.112}"
youtube tv,2474.0744,0.0805,"{'8': 0.218, '10': 0.267, '5': 0.226}"
curtain rod,685.2654,0.1173,{'11': 0.528}
sexy dresses,14914.7672,0.0557,"{'11': 1.094, '6': 0.105}"
cat carrier,1406.0007,0.0648,{'11': 0.508}
kids movies,923.3976,0.0529,{'10': 0.947}
sensory toys,1430.6928,0.0505,{'10': 0.162}
sparkling water,1161.4535,0.046,{'11': 0.88}
a,1087.6869,0.0522,"{'9': 0.241, '11': 1.085, '4': 0.218, '6': 0.075}"
juicer,1006.0676,0.0654,"{'11': 0.528, '6': 0.106}"
friends,972.9788,0.0581,"{'10': 0.394, '4': 0.121}"
teen wolf,1067.922,0.0788,"{'9': 0.178, '4': 0.218}"
orders placed by me,1440.0418,0.0572,"{'8': 0.334, '11': 0.298}"
earrings sets for women,97797.86,0.1503,"{'11': 0.457, '5': 0.25}"
pull up bar,1398.4347,0.0707,"{'2': 0.601, '11': 0.428, '5': 0.245}"
charging station,2651.7269,0.065,"{'8': 0.465, '3': 0.275, '11': 0.183, '5': 0.934}"
sex,996.7191,0.0505,{'11': 0.662}
foam roller,1083.2888,0.0532,{'11': 0.622}
stroller,1604.1503,0.069,{'11': 0.663}
sublimation blanks,1938.1817,0.0647,"{'2': 0.633, '11': 0.292, '4': 0.484}"
car,1359.5526,0.0639,"{'11': 0.498, '6': 0.118}"
hats for women,2278.6735,0.0521,"{'2': 0.223, '11': 0.186, '6': 1.089}"
nike socks,1067.3252,0.0981,"{'10': 0.117, '2': 0.386, '6': 0.183}"
melatonin gummies,1570.7467,0.0483,"{'11': 0.785, '6': 0.21}"
plants,1189.0202,0.078,"{'8': 0.649, '11': 0.479}"
tweezers,1285.6902,0.055,"{'2': 0.107, '11': 0.616, '6': 0.085}"
resin molds,1239.9469,0.089,"{'3': 0.148, '11': 0.623, '5': 0.35}"
claw clips,2959.5171,0.0647,"{'10': 0.389, '5': 0.113}"
minecraft toys,1755.7154,0.0619,"{'9': 0.07, '5': 0.139}"
kids toys,1137.5414,0.0751,"{'9': 0.218, '2': 0.406, '5': 0.091}"
cheap stuff under 5 dollars,1451.3117,0.0557,"{'10': 0.322, '3': 0.254, '5': 0.12}"
bug zapper,4938.2323,0.1196,{'11': 0.59}
laundry bag,1786.2455,0.0769,"{'11': 0.652, '4': 0.135}"
paw patrol toys,864.3666,0.1139,{'6': 0.102}
grill,1295.7956,0.1043,{'11': 0.502}
sofa bed,1323.7432,0.0649,"{'11': 0.529, '5': 0.18}"
teacher supplies,6491.6623,0.0938,"{'10': 0.445, '6': 0.345}"
small desk,1354.6059,0.0659,"{'11': 0.649, '6': 0.466}"
